train_no,train_name,origin_station,destination_station,off_day,station_order,station_name,arrival_time,departure_time,journey_day,page_number
507,Local Train,Poradaha Jn,Rajbari,,1.0,Poradaha Jn,,20:00,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,2.0,Jagati,20:11,20:11,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,3.0,Kushtia Court,20:21,20:21,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,4.0,Kushtia,20:29,20:29,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,5.0,Choraikol,20:42,20:42,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,6.0,Kumarkhali,20:51,20:51,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,7.0,Khoksa,21:03,21:03,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,8.0,Machpara,21:14,21:14,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,9.0,Pangsha,21:25,21:25,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,10.0,Kalukhali Jn,21:37,21:37,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,11.0,Belgachi,21:50,21:50,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,12.0,Suryanagar,22:00,22:00,1.0,41.0
507,Local Train,Poradaha Jn,Rajbari,,13.0,Rajbari,22:20,,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,1.0,Goalando Ghat,,15:50,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,2.0,Goalando Bazar,16:03,16:03,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,3.0,Panchuria Jn,16:20,16:20,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,4.0,Rajbari,16:35,16:35,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,5.0,Suryanagar,16:45,16:45,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,6.0,Belgachi,16:55,16:55,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,7.0,Kalukhali Jn,17:14,17:14,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,8.0,Pangsha,17:27,17:27,1.0,41.0
